Name,Provider,Building,Street,City,Postcode,Phone,Web,Email,Opening_times,Notes,Category,Longitude,Latitude,Source,Country
Meals and support,Winter comfort,Overstream House,Victoria Avenue,Cambridge,CB4 1EG,01223 518 140,http://wintercomfort.org.uk/,info@wintercomfort.org.uk,Breakfasts Monday to Friday 08:30 to 10:00 and Saturday to Sunday 08:00 to 12:00. ,A free hot cooked breakfast every day for rough sleepers. A free lunch available to rough sleepers Monday-Friday. Tea; coffee; toast and cereal are free to all every day. Shower facilities; advice and activities until 2pm. ,Food,0.125937,52.213926,Foodbank list & internet search,
Winter Comfort: Individual appointments,Winter comfort,Overstream House,Victoria Avenue,Cambridge,CB4 1EG,01223 518 140,,info@wintercomfort.org.uk,Individual appointments Monday to Friday 14:00 to 15:15,Drop-in help and advice from agencies on housing & health and other issues. ,Homelessness,0.125937,52.213926,Foodbank list & internet search,
Winter Comfort: Learning and development,Winter comfort,Overstream House,Victoria Avenue,Cambridge,CB4 1EG,01223 518 140,,info@wintercomfort.org.uk,Learning & Development Monday to Friday 10:30 to 14:00,Wide range of activities & information and advice to support personal development. Activities include Arts & Crafts & Sporting Activities & IT/Job skills,Homelessness,0.125937,52.213926,Foodbank list & internet search,
Samaritans,Samaritans,,4 Emmanuel Road,Cambridge,CB1 1JW,08457 909090,,jo@samaritans.org.uk,Monday to Sunday 10:30 to 22:30,,Mental health,0.126397,52.205492,Foodbank list & internet search,
Church of the Good Shepherd foodbank,Cambridge Foodbank,Church of the Good Shepherd,Mansel Way,Arbury,CB4 2ET,,https://cambridgecity.foodbank.org.uk/locations/,,Thursdays 11:00 to 13:00,,Food,0.126411,52.225382,Foodbank list & internet search,
OLEM Church foodbank,Cambridge Foodbank,OLEM Church,Hills Road,Cambridge,CB2 1JR,,https://cambridgecity.foodbank.org.uk/locations/,,Wednesdays 10:00 to 12:00,,Food,0.127333,52.198435,Foodbank list & internet search,
Credit Unions,Credit Union,City Homes North,171 Arbury Road,Arbury,CB4 2YG,,,,Tuesdays 09:30 to 10:30,,Debt & money & loan sharks,0.12775,52.225529,Foodbank list & internet search,
North & South Area tenancy matters,Cambridge City Council Customer Service Centre,City Homes North,171 Arbury Road,Cambridge,CB4 2YG,01223 457 000,,,Monday Tuesday Thursday 09:00 to 17:00 Wednesdays 09:00 to 16:30 Fridays 09:00 to 16:30,Tenancy matters for council tenants,Housing & employment & welfare,0.12775,52.225529,Foodbank list & internet search,
Centre 33,Centre 33,Centre 33,33 Clarendon Street,Cambridge,CB1 1JX,01223 316 488,,help@centre33.org.uk,,A youth service charity based in Centre Cambridge & Centre E Ely & Centre St Neots & HYC Hungtington & Queen Mary Centre Wisbech. Services include counselling & housing advice &  information support & sexual health & young carers,Children & young people,0.127849,52.204936,Foodbank list & internet search,
Lunch for older people,St Paul's Church,St Paul's Church,2 Hills Road,Cambridge,CB2 1JP,01223 576 899,,,Fridays 12:30,,Food,0.128324,52.197733,Foodbank list & internet search,
Lunch for vulnerable adults,St Paul's Church,St Paul's Church,2 Hills Road,Cambridge,CB2 1JP,01223 576 899,,,Thursdays 12:30,,Food,0.128324,52.197733,Foodbank list & internet search,
Simple supper,St Paul's Church,St Paul's Church,2 Hills Road,Cambridge,CB2 1JP,01223 576 899,,,Mondays 18:00,,Food,0.128324,52.197733,Foodbank list & internet search,
St Paul's Church foodbank,Cambridge Foodbank,St Paul's Church,Hills Road,Chesterton,CB2 1JP,,https://cambridgecity.foodbank.org.uk/locations/,,Mondays 16:00 to 17:30 Fridays 14:30 to 16:30,,Food,0.128324,52.197733,Foodbank list & internet search,
Riverside Care and Support,Riverside ECHG,Willow Walk,17-19 Willow Walk,Cambridge,CB1 1LA,01223 519 400,,cambridgesupportteam@riverside.org.uk,,22 units of temporary accommodation with support for people who use drugs / alcohol and people with high support needs. Identifies eligibility for benefits. Age 18+. Referral only.,Accommodation,0.128328,52.207301,Foodbank list & internet search,
North Cambridge Child and Family Centre,Cambridgeshire County Council,Colleges Nursery School,Campkin Road,Cambridge,CB4 2LD,01223 728 118,,northcambridgechildrenscentre@cambridgeshire.gov.uk,,Services across Cambridge ranging from toddler groups to child health to baby clinics and parenting courses.,Children & young people,0.128606,52.226278,Foodbank list & internet search,
Mind,Mind,Barrere House,100 Chesterton Road,Cambridge,CB4 1ER,01223 311 320,,,Days? 10:00 to 16:00,Information & advice and support for people living with mental health problems.,Mental health,0.12919,52.214919,Foodbank list & internet search,
YMCA: Cambridge,YMCA Cambridgeshire & Peterborough,Queen Anne House,Gonville Place,Cambridge,CB1 1ND,01223 356 998,http://theymca.org.uk/supported-housing/,admin@theymca.org.uk,,80 units of temporary accommodation. Facilities available: TimeStop - 22 single rooms for 16-25 year olds for up to 3 months. Agency and self-referals and Supported accommodation. Support with claiming benefits - accessing services & employment - and South Cambridgeshire – 03450 450 051 (t,Accommodation,0.129825,52.200665,Foodbank list & internet search,
Christians Against Poverty Job Club – Arbury,Christians Against Poverty ,Grace Church,106 Arbury Road,Arbury,CB4 2JF,0800 328 0006,,,Monday to Friday 08:30 to 17:00,,Debt & money & loan sharks,0.130532,52.22431,Foodbank list & internet search,
Jimmy's Cambridge,Jimmy's Cambridge,Jimmy's,1 East Road,Cambridge,CB1 1BD,01223 576 085,www.jimmyscambridge.net,info@jimmyscambridge.org.uk,,22 units of temporary accommodation: summary of criteria: Assessment appointment necessary. If homeless & local encourage to register with council; 18+; Minimum 1 night max 28 days; Accept dogs; 2330 curfew; must engage in 3 weekly activities; £10pw for those receiving benefits,Accommodation,0.132583,52.203555,Foodbank list & internet search,
Sexual health & contraception,The Laurels,The Laurels,20 Newmarket Road,Cambridge,CB5 8DT,08456 505152,,,PLEASE CHECK FOR OPENING TIMES,,Health & relationships,0.133883,52.208082,Foodbank list & internet search,
Cambridge Furniture & Electrical Store,Cambridge Furniture & Electrical Store,Cambridge Furniture & Electrical Store,164-167 East Road,Cambridge,CB1 1DB,01223 633 790,,,Monday to Saturday 09:30 to 17:00 Sunday 10:00 to 16:00,Good quality pre-owned and brand new furniture and appliances,Furniture & white goods,0.134253,52.20571,Foodbank list & internet search,
Urgent Care (formerly known as CAMDOC),Chesterton Medical Centre,Chesterton Medical Centre,Union Lane,Chesterton,CB4 1PX,01223 726 050,,admin@ucc.nhs.uk,,,Homelessness,0.135919,52.219402,Foodbank list & internet search,
Lawrence Way,Cambridge City Council,,37 Lawrence Way,King's Hedges,CB4 2PR,01223 508 197,https://www.cambridge.gov.uk/37-lawrence-way-community-house,georgina.manning@cambridge.gov.uk,,,Community Centres,0.136,52.230532,Foodbank list & internet search,
Salvation Army,Salvation Army,Salvation Army,3 Tenison Road,Cambridge,CB1 2EF,01223 367 633,,Officers@camsa.org.uk,,Drop in Centre - provides hot food & toiletries & wide range of support for those in poverty - homeless - addiction,Homelessness,0.136225,52.198004,Foodbank list & internet search,
Nuns Way Pavilion,Cambridge City Council,,Nuns Way,King's Hedges,CB4 2PF,01223 508 197,https://www.cambridge.gov.uk/nuns-way-pavilion,georgina.manning@cambridge.gov.uk,,,Community Centres,0.136305,52.232613,Foodbank list & internet search,
CAB drop in and HELPLINE,Citizen's Advice Bureau,CAB,66 Devonshire Road,Cambridge,CB1 2BL,HELPLINE: 03448 487 979,citizensadvice.org.uk,,"DROP-IN Monday to Friday 09:15 to 12:45
HELPLINE Monday to Friday 14:00 to 16:00",Includes advice on energy company trust funds that can be used by individuals and families with low incomes to help with one-off payment to clear debt &/ replacement of essential applicances. The application process for these sources of financial aid ca,Debt & money & loan sharks,0.13716,52.196459,Foodbank list & internet search,
Cambridge Street Outreach Team,Cambridge Street Outreach Team,2nd Floor,125 Newmarket Road,Cambridge,CB5 8HA,01223 366 292,https://www.changegrowlive.org/content/cambridge-street-mental-health-outreach-team-csmhot,,Monday to Friday 09:00 to 17:00,Team dedicated to identifying and working with people over 18 who are either rough sleepers & engaged in street based lifestyle or have an alcohol or drug problem,Homelessness,0.140268,52.209054,Foodbank list & internet search,
Cambridge Women's Resource Centre,Cambridge Women's Resource Centre,The Wharf,Hooper Street,Cambridge,CB1 2NZ,01223 321148,http://www.cwrc.org.uk/,info@cwrc.org.uk,,Provide support on accommodation & accessing education & training work & health issues & finance and violent relationship/sexual abuse. Dawn project covers the criminal justice system/offending Cambridge contact: Anna Gilchrist & Diana Minns,Health & relationships,0.140963,52.20129,Foodbank list & internet search,
Chesterton Methodist Church foodbank,Cambridge Foodbank,Chesterton Methodist Church,Green End Road,Chesterton,CB4 1RW,,https://cambridgecity.foodbank.org.uk/locations/,,Tuesdays 10:30 to 12:30,,Food,0.146869,52.221496,Foodbank list & internet search,
Brownsfield Youth & Community Centre,Cambridge City Council,,31A Green End Road,Chesterton,CB4 1RU,01223 420 309,https://www.cambridge.gov.uk/browns-field-youth-and-community-centre,brownsfield@cambridge.gov.uk,,,Community Centres,0.146918,52.225856,Foodbank list & internet search,
Credit Unions,Credit Union,Brown’s Field Youth and Community Centre,Green End Road,Cambridge,CB4 1RU,,,,Tuesdays 10:30 to 12:30,,Debt & money & loan sharks,0.146918,52.225856,Foodbank list & internet search,
Credit Unions,Credit Union,Ross Street Community Centre,Ross Street,Cambridge,CB1 3UZ,,,,Thursdays 11:00 to 13:00,,Debt & money & loan sharks,0.148029,52.199427,Foodbank list & internet search,
Ross Street Community Centre,Cambridge City Council,Ross Street Community Centre,Ross Street,Cambridge,CB1 3UZ,01223 471 674,https://www.cambridge.gov.uk/ross-street-community-centre,ross.street@cambridge.gov.uk,,,Community Centres,0.148029,52.199427,Foodbank list & internet search,
Romsey Mill Children's Centre,Cambridgeshire County Council,Romsey Mill,Hemingford Road,Cambridge,CB1 3BZ,01223 566 102,,childrenscentre@romseymill.org,,Services across Cambridge ranging from toddler groups to child health to baby clinics and parenting courses.,Children & young people,0.149289,52.198549,Foodbank list & internet search,
Chesterton Child and Family Centre,Cambridgeshire County Council,Shirley Community Nursery And Primary School,Nuffield Road,Cambridge,CB4 1TF,01223 729 081,,chestertonchildrenscentre@cambridgeshire.gov.uk,,Services across Cambridge ranging from toddler groups to child health to baby clinics and parenting courses.,Children & young people,0.152455,52.227419,Foodbank list & internet search,
Cambridge Re-Use,Cambridge Re-Use,Unit H The Paddocks,Cherry Hinton Road,Cherry Hinton,CB1 8DH,01223 576 535,http://www.cambridgereuse.org.uk/,customer@cambridgereuse.co.uk,Monday to Friday 09:00 to 16:30 Saturdays 10:00 to 15:00,Helping people on low income to furnish their homes. Criteria: Single £18000 Couple £23000. Wage slip or working tax credit awarded. If on benefits to provide confirmation of all benefits received,Furniture & white goods,0.155118,52.18776,Foodbank list & internet search,
Free Swim for 0-5 year olds,Childrens Centres,Abbey Pool,,Cambridge,CB5 8NT,,,,Term time only Tuesdays 13:00 to 14:30,Criteria: Registered with a Children's Centre,Children & young people,0.155796,52.209634,Foodbank list & internet search,
Christians Against Poverty Job Club - Trumpington,Christians Against Poverty ,C3 Centre,Coldhams Lane,Trumpington,CB1 3HR,0800 328 0006,,,Monday to Friday 08:30 to 17:00,,Debt & money & loan sharks,0.156131,52.198406,Foodbank list & internet search,
Friday Lunch,C3 Centre,C3 Centre,Coldhams Lane,Cambridge,CB1 3HR,01223 844415,https://www.thec3.uk/,hello@thec3.co.uk,Fridays 12:30,,Food,0.156131,52.198406,Foodbank list & internet search,
C3 Centre foodbank,Cambridge Foodbank,C3 Centre,Coldhams Lane,Cambridge,CB1 3HW,,https://cambridgecity.foodbank.org.uk/locations/,,Fridays 10:30 to 16:00,,Food,0.156297,52.200642,Foodbank list & internet search,
Accommodation & meaningful work,Emmaus,Emmaus,Green End,Landbeach,CB25 9FD,01223 863 657,,info@emmauscambridge.org,,Provides accommodation and meaningful work for as long as it is needed. Facilities include: Own room & food & clothing and a small weekly allowance & in exchange for 40 hours of work given for community social enterprises. No drink or drugs on the premises,Homelessness,0.162105,52.268992,Foodbank list & internet search,
Food cycle Barnwell,Barnwell Baptist Church,Barnwell Baptist Church,Howard Road,Cambridge,CB5 8QS,01223 292 454,https://www.foodcycle.org.uk/location/cambridge-barnwell/,,1st and 3rd Wednesday of each month 18:30,,Food,0.162729,52.216755,Foodbank list & internet search,
Money Advice Centre,Barnwell Baptist Church,Barnwell Baptist Church,Howard Road,Cambridge,CB5 8QS,01223 727 455,http://www.cambridgemoneyadvicecentre.org.uk/contact,office.mac.cambridge@gmail.com,,Please e-mail for an appointment,Debt & money & loan sharks,0.162729,52.216755,Foodbank list & internet search,
Credit Unions,Credit Union,East Barnwell Community Centre,Newmarket Road,Cambridge,CB5 8RS,,,,Tuesdays 10:00 to 12:00,,Debt & money & loan sharks,0.167561,52.211658,Foodbank list & internet search,
Cambridgeshire & Peterborough NHS Foundation Trust (CPFT),Cambridgeshire & Peterborough NHS Foundation Trust (CPFT),Elizabeth House,Fulbourn Hospital,Fulbourn,CB21 5EF,01223 726 789,http://www.cpft.nhs.uk/,,Monday to Friday 08:00 to 17:00. Out of hours Monday to Friday 17:00 to 08:00 and Saturday to Sunday and bank holidays 08:00 to 20:00,CPFT provide mental health & learning disability & social care & and community services for adults and older people,Mental health,0.188204,52.185226,Foodbank list & internet search,
Waterbeach Children's Centre,Cambridgeshire County Council,Waterbeach Community Primary School,High Street,Waterbeach,CB25 9JU,01223 472 791,,waterbeachchildrenscentre@cambridgeshire.gov.uk,,Services across Cambridge ranging from toddler groups to child health to baby clinics and parenting courses.,Children & young people,0.190515,52.269413,Foodbank list & internet search,
120 Mill Road,CHS Group,120 Mill Road,Mill Road,Cambridge,CB1 2BQ,,http://www.chsgroup.org.uk/userfiles/files/Support/Housing/120MillRoad.pdf ,,,7 units of temporary accommodation for looked-after children,Accommodation,0.13981,52.19881,Supported housing database,
Advice Drop-in,The Peacock Centre,Brookfields Hospital,351 Mill Road,Cambridge ,CB1 3DF,,,,Wednesdays 10:30 to 12:00,No cost. Commencing on 02 May 2018 Free 1:1 with a family worker for information and advice on a wide range of issues including child health; finances; benefits; childcare funding and much more. ,Children & young people,0.1508,52.19712,CambsNet,
Advice Drop-in,North Cambridge Child and Family Centre,,Campkin Road,Cambridge,CB4 2LD,,,,Wednesdays 10:00 to 11:30,Free information and advice on a wide range of issues including child health; finances; benefits; childcare funding and much more. This drop-in is run by Family Workers,Children & young people,0.12858,52.22626,CambsNet,
Bookstart / Clothes Swap / Cookbags / Toy Library Hire,The Fields Child and Family Centre,,Galfrid Road,Cambridge ,CB5 8ND,,,,Mondays 11:30 to 13:00,No cost. Come and swap your unwanted children’s clothes for others; borrow one of our Cookbags complete with a recipe card; hire toys from the Toy Library or join the Bookstart scheme! ,Children & young people,0.16086,52.20812,CambsNet,
Breastfeeding Information and Support,Chesterton Child and Family Centre,Shirley Community Nursery And Primary School,Nuffield Road,Cambridge,CB4 1TF,,,,Wednesdays 10:00 to 12:00,No cost. Meet other mums and get professional advice. This group is run by Health Visitors,Children & young people,0.15233,52.2274,CambsNet,
Bumps to Babies,Chesterton Child and Family Centre,Shirley Community Nursery And Primary School,Nuffield Road,Cambridge,CB4 1TF,,,,Thursdays 12:45 to 14:15,£2.00 per family. This group offers support; information and advice for pregnant parents and mums/dads of new babies. Meet other parents and share experiences. We offer support to guide you through late pregnancy and after birth; with advice on feeding; sleeping; weaning and illnesses.,Children & young people,0.15233,52.2274,CambsNet,
Bumps to Babies,The Fields Child and Family Centre,,Galfrid Road,Cambridge ,CB5 8ND,,,,Thursdays 12:00 to 14:00,£2.00 per family. For parents with babies under 1 year old,Children & young people,0.16086,52.20812,CambsNet,
Cambridge Youth Foyer,Riverside ECHG,,1 Rustat Close,Cambridge,CB1 3NG,,,,,Foyer; 40 units,Accommodation,0.14164,52.195,Supported housing database,
Camsight,North Cambridge Child and Family Centre,,Campkin Road,Cambridge,CB4 2LD,01223 420033,,,Tuesday 10:00 to 12:00,This is a group for pre-school children wit a visual impairment. Activities include craft; messy play and singing with the emphasis on particular sensory needs of the children. If you would like more information; please contact Paul Bird on 01223 420033,Children & young people,0.12858,52.22626,CambsNet,
Carlyle Road,Cambridge Cyrenians,,28 Carlyle Road,Cambridge,CB4 3DN,,https://cambridgecyrenians.org.uk/accommodation-services/,,,8 units of temporary accommodation; short stay,Accommodation,0.11945,52.21379,Supported housing database,
Castle Young Peoples Project,Richmond Fellowship,,Gwydir Street,Cambridge,CB1 2LJ,,,,,20 units of temporary accommodation with support for people with mental health issues,Accommodation,0.13848,52.20052,Supported housing database,
Childminder Group,East Barnwell Community Centre,East Barnwell Community Centre,Newmarket Road,Cambridge,CB5 8RS,,,,Tuesdays 09:30 to 11:30,50p voluntary donation per adult. For childminders; nannies; au pairs and the children they look after. Everybody is welcome to come and play at this friendly group run by local childminders,Children & young people,0.16753,52.21164,CambsNet,
Clothing Swap,North Cambridge Child and Family Centre,,Campkin Road,Cambridge,CB4 2LD,,,,,No cost. Come along and swap your baby and toddler clothes. Bring clean good condition 0 to 5 years clothing that you would like to swap. You will be awarded points for each item; which then can be exchanged for clothes at the swap sessions. ,Children & young people,0.12858,52.22626,CambsNet,
Coldhams Lane,Riverside ECHG,,Coldhams Lane,Cambridge,CB1 3HY,,www.riverside.org.uk,,,3 units of homeless move-on,Accommodation,0.15431,52.20241,Supported housing database,
Corona House ,CHS Group,Corona House ,1 Corona Road,Cambridge,CB4 3EE,,,,,6 units of temporary accommodation; women only,Accommodation,0.12315,52.21492,Supported housing database,
Ducklings,The Fields Child and Family Centre,,Galfrid Road,Cambridge ,CB5 8ND,,,,Thursdays 10:00 to 11:30,No cost. For families with children who have additional needs,Children & young people,0.16086,52.20812,CambsNet,
Dudley Road,Riverside ECHG,,Dudley Road,Cambridge,CB5 8PJ,,www.riverside.org.uk,,,3 units of homeless move-on,Accommodation,0.16524,52.21535,Supported housing database,
Family Support Group,Fawcett Primary School,Fawcett Primary School,Trumpington ,Cambridge,CB2 9FS,,,,Second Wednesday of each month 10:00 to 11:30,No cost. For parents and their deaf babies and pre-schoolers. Siblings welcome. Run by SEND team,Children & young people,0.11836,52.17715,CambsNet,
Ferrars Way,Riverside ECHG,,Ferrars Way,Cambridge,CB4 3RF,,www.riverside.org.uk,,,3 units of homeless move-on,Accommodation,0.1177,52.22507,Supported housing database,
Free Swim for Under 5's,Abbey Swimming Pool,,Pool Way,Cambridge ,CB5 8NT,,,,Tuesdays,No cost. If you are registered with a Child and Family Centre; you can pick up a pass that entitles you to a free half hour swim at Abbey Pool (Four x 30 minute sessions) (Term Time only),Children & young people,0.15451,52.20929,CambsNet,
Green End Road,Riverside ECHG,,Green End Road,Cambridge,CB4 1RN,,www.riverside.org.uk,,,3 units for homeless move-on,Accommodation,0.14731,52.22126,Supported housing database,
Guided Adult and Child Swim,Abbey Swimming Pool,,Pool Way,Cambridge ,CB5 8NT,,,,Fridays 11:45 to 12:45,No cost. This is 2 half an hour swim sessions giving parents the opportunity to swim with their child whilst receiving advice and support from the in pool swimming teacher. Suitable for children who are new to water. ,Children & young people,0.15451,52.20929,CambsNet,
Gwydir Street,Cyrenians,,99 Gwydir Street,Cambridge,CB1 2LG,,,,,Temporary accommodation; women only,Accommodation,0.13894,52.20298,Supported housing database,
Hills Road,Cambridge Cyrenians,,153 Hills Road,Cambridge,CB2 1JP,,https://cambridgecyrenians.org.uk/accommodation-services/,,,8 units of temporary accommodation; short stay,Accommodation,0.12827,52.19772,Supported housing database,
Homestart,Chesterton Child and Family Centre,Shirley Community Nursery And Primary School,,Cambridge,CB4 1TF,,,,Thursdays 10:00 to 11:30,No cost. This is a stay and play group; offering support and is by invite only Term time only,Children & young people,0.15233,52.2274,CambsNet,
Introducing Family Foods,Chesterton Child and Family Centre,Shirley Community Nursery And Primary School,,Cambridge,CB4 1TF,03000 295050,,,4th and 5th Monday of each month 14:00 to 15:00,No cost. Health Visitor led advice about starting your baby on solid food. To book telephone 03000 295050,Children & young people,0.15233,52.2274,CambsNet,
Jimmy's Cambridge - Controlled Drinkers' Service,Jimmy's Cambridge,Jimmy's,451 Newmarket Road,Cambridge,CB5 8JJ,,www.jimmyscambridge.net,,,6 units of temporary accommodation with support for people who use drugs / alcohol; aged over 40,Accommodation,0.14974,52.21306,Supported housing database,
Jolley Way,Riverside ECHG,,Jolley Way,Cambridge,CB4 2QZ,,www.riverside.org.uk,,,3 units of homeless move-on,Accommodation,0.13557,52.22806,Supported housing database,
Kings Hedges Road,Cyrenians,,23-25 Kings Hedges Road,Cambridge,CB4 2QF,,,,,8 units of temporary accommodation; longer stay,Accommodation,0.14424,52.22795,Supported housing database,
La Leche Breastfeedling Support,North Cambridge Child and Family Centre,,Campkin Road,Cambridge,CB4 2LD,,,,Second Friday of each month 12:45 to 14:30,No cost. La Leche is for you if; You are expecting a baby and want to know more about breastfeeding You are already breastfeeding and want help with challenges You need information on starting solids and weaning You want to meet other breastfeeding mums to share support You want to help other breastfeeding.,Children & young people,0.12858,52.22626,CambsNet,
Lapwing Avenue,Cyrenians,,21-22 Lapwing Avenue,Cambridge,CB2 9AN,,,,,Temporary accommodation: working houses i.e. for men & women in work,Accommodation,0.12553,52.16651,Supported housing database,
Mere Way,Riverside ECHG,,Mere Way,Cambridge,CB4 2JP,,www.riverside.org.uk,,,3 units of homeless move-on,Accommodation,0.12272,52.22663,Supported housing database,
Messy Play,Fawcett Primary School,Fawcett Primary School,Trumpington ,Cambridge,CB2 9FS,,,,Tuesdays 10:00 to 11:30,£2 per family. This is a drop-in group for children and their parents/carers Please bring children in old clothes! ,Children & young people,0.11836,52.17715,CambsNet,
Mini Movers,Chesterton Child and Family Centre,Shirley Community Nursery And Primary School,Nuffield Road,Cambridge,CB4 1TF,,,,Fridays 13:30 to 14:30,£2.00 per family. This drop-in session is for established crawlers and children from 1- 2 years. These sessions incorporate activities to support physical development and learning; with one sensory session per half-term.,Children & young people,0.15233,52.2274,CambsNet,
Mondays Together,The Fields Child and Family Centre,,Galfrid Road,Cambridge ,CB5 8ND,,,,Mondays,No cost. 10:00 to 12.30 Stay and Play for Under 3's 13:00 to 15:00 Stay and Play for non-walking babies For local families in CB5 area only; due to space restriction Both groups are run by Kings Hedges Family Support Project (KHFSP) ,Children & young people,0.16086,52.20812,CambsNet,
New Parent Group,The Peacock Centre,Brookfields Hospital,351 Mill Road,Cambridge ,CB1 3DF,,,,Wednesdays 12:00 to 13:30,£2.00 per family. Especially for parents with babies up to 12 months. Includes time to talk about a wide range of parenting issues. ,Children & young people,0.1508,52.19712,CambsNet,
Orchard Park Seedlings,The Orchard Community Centre,,Central Avenue,Cambridge,CB4 2EZ,,,,Mondays 10:00 to 11:30,No cost. Parent led Stay and Play,Children & young people,0.12147,52.23388,CambsNet,
Peter Maitland Court,CHS Group,Peter Maitland Court,150 Victoria Road,Cambridge,CB4 3DS,,http://www.chsgroup.org.uk/userfiles/files/Young%20Parent%20%20Baby%20Brochure%20-%20edited%2004_06_14.pdf  ,,,8 units of temporary accommodaiton for parents,Accommodation,0.11712,52.21557,Supported housing database,
Play and Learn @ Fawcett,Fawcett Primary School,Fawcett Primary School,Trumpington ,Cambridge,CB2 9FS,,,,Thursdays 09:45 to 11:15,No cost. Learning and playing together to grow your confidence as a parent/carer,Children & young people,0.11836,52.17715,CambsNet,
Play and Learn @ North Cambridge,North Cambridge Child and Family Centre,,Campkin Road,Cambridge,CB4 2LD,,,,Thursdays 10:00 to 11:30,No cost. Come along to this new group and enjoy fun activities with your child; meet other parents and learn about child development Suitable for children aged 1 -2 years. Snack will be provided. Activities are based on PEEP programme ,Children & young people,0.12858,52.22626,CambsNet,
Play and Learn @ The Fields,The Fields Child and Family Centre,,Galfrid Road,Cambridge ,CB5 8ND,,,,Thursdays 12:30 to 14:30,£2.00 per family. For families with children aged 5 and under. A variety of play based activities and themes that change weekly. A great way to learn about your child’s development; enjoy time together and meet other parents. The activities are based around the Early Years Foundation Stage. Term time only,Children & young people,0.16086,52.20812,CambsNet,
Railway House ,CHS Group,Railway House ,128 Mill Road,Cambridge,CB1 2BQ,,http://www.chsgroup.org.uk/userfiles/files/Support/Housing/Railway_House.pdf ,,,12 unit sof temporary accommodation,Accommodation,0.13981,52.19881,Supported housing database,
Rhyme Time,Cherry Hinton Library,High Street,Cherry Hinton ,Cambridge,CB1 9HZ,,,,Wednesdays 14:00 to 14:30,No cost. Rhyme time is volunteer organised with support from Cambridgeshire Libraries.,Children & young people,0.17299,52.18574,CambsNet,
